"","source","no_rel","nbpc","year","date_deb","trait","lat","long","no_str","prof_moy","Tmp_fond","Sal_Fond","region","month","day","date","Label","bathymetry","Cfin_mg","Cgla_mg","Chyp_mg","temp","Cal_mg"
"63",16,15,39,2018,"2018-08-31",189,48.1058333333333,-60.8886666666667,407,406,6.07,34.94,"NGSL","08",NA,2018-08-31,"43869",374.473907470703,3239.82273600744,1224.98019338746,10117.0829703203,"3C",14581.8858997152
"64",16,15,39,2018,"2018-08-31",192,48.5408333333333,-61.2368333333333,803,415,6.08,34.94,"NGSL","08",NA,2018-08-31,"44952",405.312805175781,3583.4775605313,1705.66622402,24292.0527244355,"3C",29581.1965089868
"65",16,15,39,2018,"2018-09-01",195,48.344,-62.162,402,217,4.79,33.95,"NGSL","09",NA,2018-09-01,"44511",195.70329284668,3951.51987754836,1215.40491235314,9254.76159952927,"3C",14421.6863894308
"66",16,17,39,2020,"2020-08-13",2,49.1118333333333,-64.1686666666667,406,332,6.45,34.81,"NGSL","08",NA,2020-08-13,"46510",281.379699707031,3974.76627874933,1233.47518628179,16512.7130383141,"3C",21720.9545033453
"67",16,17,39,2020,"2020-08-13",5,49.0696666666667,-64.0083333333333,406,355,6.48,34.865,"NGSL","08",NA,2020-08-13,"46512",278.813201904297,4067.22745285087,1500.06665449397,20932.1054703901,"3C",26499.3995777349
"68",16,17,39,2020,"2020-08-13",8,48.9311666666667,-63.3556666666667,804,348,6.53,34.894,"NGSL","08",NA,2020-08-13,"46047",270.631286621094,3730.29276129873,2153.46681056661,22919.2459225103,"3C",28803.0054943757
"69",16,17,39,2020,"2020-08-14",11,49.2263333333333,-63.2515,830,148,2.55,33.154,"NGSL","08",NA,2020-08-14,"47003",78.367317199707,1187.92034765226,1453.90741069592,7384.45941375993,"3C",10026.2871721081
"70",16,17,39,2020,"2020-08-14",14,49.5876666666667,-64.2826666666667,818,235,5.94,34.446,"NGSL","08",NA,2020-08-14,"47970",220.937698364258,3580.04184134033,2346.68296178982,24472.0210494414,"3C",30398.7458525715
"71",16,17,39,2020,"2020-08-14",17,49.4721666666667,-64.8613333333333,NA,357,NA,NA,"NGSL","08",NA,2020-08-14,"47707",333.119506835938,3601.67886436959,1349.69892777434,17658.8316461285,"3C",22610.2094382724
"72",16,17,39,2020,"2020-08-15",20,49.5563333333333,-66.26,805,328,6.38,34.761,"NGSL","08",NA,2020-08-15,"47946",339.526000976562,3772.00606274752,1525.85656607106,19309.0355093509,"3C",24606.8981381694
"73",16,17,39,2020,"2020-08-15",23,49.2836666666667,-66.488,410,286,6.2,34.664,"NGSL","08",NA,2020-08-15,"46969",246.063095092773,4257.87941018533,1118.61417308678,16873.1215917109,"3C",22249.615174983
"74",16,17,39,2020,"2020-08-16",26,49.1416666666667,-66.7921666666667,409,245,5.23,34.236,"NGSL","08",NA,2020-08-16,"46732",206.791595458984,4106.82332844603,1086.76125195506,13182.0605693435,"3C",18375.6451497446
"75",16,17,39,2020,"2020-08-16",29,48.8323333333333,-68.0715,411,325,5.89,34.521,"NGSL","08",NA,2020-08-16,"45796",248.357696533203,4773.81816367889,891.068212940338,16522.3384916045,"3C",22187.2248682237
"76",16,17,39,2020,"2020-08-17",32,48.5711666666667,-68.6018333333333,851,70,1.28,32.102,"NGSL","08",NA,2020-08-17,"45126",84.7243118286133,1714.63789975155,560.51101189424,4514.42500105481,"3C",6789.5739127006
"77",16,17,39,2020,"2020-08-17",35,48.7033333333333,-68.7491666666667,413,342,5.89,34.525,"NGSL","08",NA,2020-08-17,"45336",184.938903808594,4129.42565116141,1100.37201535506,13280.8237502482,"3C",18510.6214167647
"78",16,17,39,2020,"2020-08-17",38,49.0531666666667,-67.8236666666667,412,264,5.83,34.465,"NGSL","08",NA,2020-08-17,"46492",246.326705932617,4309.91873880759,1623.27291036694,22884.7493188425,"3C",28817.940968017
"79",16,17,39,2020,"2020-08-18",41,49.249,-67.4448333333333,411,298,6.12,34.618,"NGSL","08",NA,2020-08-18,"46958",244.923797607422,4057.88763419456,1991.76974490507,26383.8036588169,"3C",32433.4610379165
"80",16,17,39,2020,"2020-08-18",44,49.8405,-66.5813333333333,817,285,6.29,34.721,"NGSL","08",NA,2020-08-18,"48736",273.688995361328,3577.48261058303,1726.73730430681,21603.3628195974,"3C",26907.5827344873
"81",16,17,39,2020,"2020-08-18",47,49.8621666666667,-66.0075,817,279,6.27,34.708,"NGSL","08",NA,2020-08-18,"48743",291.333404541016,3715.90457462409,1748.73433559755,21402.9059763043,"3C",26867.5448865259
"82",16,17,39,2020,"2020-08-19",50,49.6851666666667,-64.852,818,235,5.61,34.347,"NGSL","08",NA,2020-08-19,"48224",255.070098876953,3823.52101934491,1889.3584486001,23875.4456456585,"3C",29588.3251136035
"83",16,17,39,2020,"2020-08-19",53,49.9813333333333,-64.4493333333333,831,148,2.94,33.286,"NGSL","08",NA,2020-08-19,"49307",133.960800170898,2334.53442861873,2007.83432812623,14005.663778758,"3C",18348.032535503
"84",16,17,39,2020,"2020-08-20",56,50.1205,-65.1723333333333,832,117,1.4,32.6,"NGSL","08",NA,2020-08-20,"49578",138.13459777832,2325.71386660697,1995.20127880425,12084.1945011185,"3C",16405.1096465297
"85",16,17,39,2020,"2020-08-20",59,50.1603333333333,-64.618,839,NA,NA,NA,"NGSL","08",NA,2020-08-20,"49866",68.6219863891602,875.780127763024,1328.62826618745,7965.36349322205,"3C",10169.7718871725
"86",16,17,39,2020,"2020-08-21",62,50.0821666666667,-63.4603333333333,828,136,1.34,32.679,"NGSL","08",NA,2020-08-21,"49598",119.028297424316,1786.5548218579,1358.54021648568,9646.44179974743,"3C",12791.536838091
"87",16,17,39,2020,"2020-08-21",65,49.6878333333333,-62.6498333333333,829,140,1.27,32.801,"NGSL","08",NA,2020-08-21,"48238",74.0651092529297,795.795648622655,744.682405040585,2866.229742031,"3C",4406.70779569424
"88",16,17,39,2020,"2020-08-21",68,49.7923333333333,-62.226,816,236,6.42,34.49,"NGSL","08",NA,2020-08-21,"48777",195.369598388672,3069.00258847429,2171.38640238138,18351.5649773447,"3C",23591.9539682004
"89",16,17,39,2020,"2020-08-22",71,50.0095,-62.1985,828,152,2.09,33.049,"NGSL","08",NA,2020-08-22,"49334",138.147994995117,2278.96844184953,1890.94440210312,11079.7958084264,"3C",15249.7086523791
"90",16,17,39,2020,"2020-08-22",74,49.8566666666667,-61.4168333333333,827,159,3.9,33.599,"NGSL","08",NA,2020-08-22,"48787",177.189605712891,2954.00340950183,1670.52840495313,14905.8661979682,"3C",19530.3980124232
